Incident Date,State,City Or County,Short_Address,Address,latitude,longitude,Killed,Injured
4/24/2016,Virginia,Halifax,1055 L P Bailey Memorial Hwy,1055 L P Bailey Memorial Hwy Halifax Virginia,36.777174,-78.921881,0,5
4/24/2016,Illinois,Chicago (Englewood),2000 block of West 68th Place,2000 block of West 68th Place Chicago (Englewood) Illinois,41.769548,-87.673879,2,3
4/24/2016,Colorado,Denver,1400 Block of 14th Street,1400 Block of 14th Street Denver Colorado,39.747992,-105.00071,0,4
4/23/2016,Nevada,Las Vegas,1650 South Hollywood Boulevard,1650 South Hollywood Boulevard Las Vegas Nevada,36.152586,-115.02572,1,3
4/23/2016,Alabama,Auburn,1200 block of Lee Road 83,1200 block of Lee Road 83 Auburn Alabama,32.546255,-85.420107,3,1
4/23/2016,Kansas,Topeka,3732 S.W. Topeka Boulevard,3732 S.W. Topeka Boulevard Topeka Kansas,38.999108,-95.686711,1,4
4/23/2016,New York,New York (Manhattan),West 141st Street and Edgecombe Avenue,West 141st Street and Edgecombe Avenue New York (Manhattan) New York,40.820879,-73.945163,0,4
4/22/2016,Ohio,Piketon,4077 Union Hill Road,4077 Union Hill Road Piketon Ohio,39.02012,-83.274949,8,0
4/22/2016,Georgia,Appling,3162 Johnson Drive,3162 Johnson Drive Appling Georgia,33.599146,-82.224603,6,0
4/21/2016,Maryland,Baltimore,4800 block of Frankford Avenue,4800 block of Frankford Avenue Baltimore Maryland,39.332469,-76.545037,0,4
4/19/2016,Alabama,Blountsville,81551 Us Highway 278,81551 Us Highway 278 Blountsville Alabama,34.159926,-86.469076,1,4
4/19/2016,Illinois,Chicago,2700 block of West 53rd Street,2700 block of West 53rd Street Chicago Illinois,41.797388,-87.691468,1,3
4/19/2016,Illinois,Chicago,1400 block of West 84th Street,1400 block of West 84th Street Chicago Illinois,41.741407,-87.658364,1,4
